"filename", "language", "Markdown", "Dart", "YAML", "JSON", "C++", "XML", "Swift", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\main.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 77
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\models\filter.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\models\post.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\models\rating.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\models\request.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\models\user.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\providers\auth_provider.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 95
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\providers\filters_provider.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 58
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\providers\posts_provider.dart", "Dart", 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 288
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\providers\rating_provider.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 89
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\providers\request_provider.dart", "Dart", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 219
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\providers\user_provider.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\auth_screen.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\edit_user_screen.dart", "Dart", 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 242
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\filters_screen.dart", "Dart", 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 422
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\home_screen.dart", "Dart", 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 199
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\jobs_screen.dart", "Dart", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 133
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\new_post_screen.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 104
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\post_screen.dart", "Dart", 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 291
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\profile_screen.dart", "Dart", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 216
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\screen_args\edit_user_screen_args.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
