"filename", "language", "Dart", "YAML", "Markdown", "JSON", "XML", "C++", "HTML", "Groovy", "Properties", "Swift", "comment", "blank", "total"
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\providers\rating_provider.dart", "Dart", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 87
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\providers\request_provider.dart", "Dart", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 194
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\providers\user_provider.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\auth_screen.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\filters_screen.dart", "Dart", 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 341
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\home_screen.dart", "Dart", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 174
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\jobs_screen.dart", "Dart", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 133
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\new_post_screen.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 104
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\post_screen.dart", "Dart", 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 286
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\profile_screen.dart", "Dart", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 196
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\screen_args\new_post_screen_args.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\screen_args\post_screen_args.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\screen_args\profile_screen_args.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\user_listings_screen.dart", "Dart", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 164
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\AppDrawer.dart", "Dart", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 101
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\auth_form.dart", "Dart", 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 257
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\gradient_button.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\gradient_icons.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\job_item.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\past_jobs_item.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 76
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\post_form.dart", "Dart", 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 427
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\post_item.dart", "Dart", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 129
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\rating_item.dart", "Dart", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 88
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\rating_promt.dart", "Dart", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 123
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\request_item.dart", "Dart", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 118
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\show_rating.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\pubspec.yaml", "YAML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 58, 16, 100
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 18, 7, 105
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 3610, 29, 13, 219, 124, 1, 80, 92, 8, 12, 161, 287, 4636
